,Time,Temperature,Gas,Pressure,Humidity,Altitude
0,1676676339.5218563,22.185078125,7382,1006.5868864577781,17.185637514445972,55.62325459930906
1,1676676341.7153916,22.1909375,1202,1006.5847403554634,17.171154753798575,55.64121809169412
2,1676676343.9091797,22.2036328125,1972,1006.588916943115,17.13239175900687,55.606258882763164
3,1676676346.1010702,22.221015625,2638,1006.59410905988,17.10372733970736,55.5627995743624
4,1676676348.2934701,22.2376171875,3474,1006.5945746412887,17.890309974672302,55.55890255106971
5,1676676350.4855077,22.25109375,4286,1006.6017660109079,18.822044027530467,55.49870932148465
6,1676676352.6778994,22.2637890625,5080,1006.6008140162653,19.29357215585368,55.506677690695895
7,1676676354.8698723,22.2731640625,5870,1006.6045530403534,19.344303501947362,55.4753814105444
8,1676676357.0621712,22.2821484375,6666,1006.6025115851147,19.209321689546442,55.492468733316365
9,1676676359.254117,22.288203125,7493,1006.5972724382168,18.984183615715217,55.53632140005656
10,1676676361.446589,22.2938671875,8329,1006.6067573487546,18.699506125810213,55.456931010991575
11,1676676363.639246,22.295625,9130,1006.5994486236871,18.420280346647697,55.51810628686568
12,1676676365.8313365,22.297578125,9891,1006.592466907665,18.15167002458352,55.57654477711848
13,1676676368.0237916,22.29875,10636,1006.5944292713045,17.928275498707674,55.56011933105737
14,1676676370.2156463,22.3001171875,11365,1006.6001361609777,17.730080127506913,55.51235146711088
15,1676676372.4082096,22.2977734375,11930,1006.6081725018395,17.62105500647624,55.44508597976544
16,1676676374.6001482,22.2971875,12613,1006.6157349313153,17.601235102793883,55.38178760535035
17,1676676376.7925014,22.2985546875,13268,1006.6248593246539,17.591413251753774,55.30541593252075
18,1676676378.9844587,22.2985546875,13875,1006.6299855135563,17.586466885448658,55.26250969608216
19,1676676381.176417,22.299140625,14570,1006.642927851573,17.556823736409896,55.15418302490296
20,1676676383.368472,22.300703125,15009,1006.6455444582424,17.522295417071458,55.132282305240864
21,1676676385.5606525,22.303828125,15475,1006.6507776775356,17.621372063465405,55.088480954368
22,1676676387.753008,22.30734375,16020,1006.6481212873668,17.809728554664897,55.110714564456984
23,1676676389.9449935,22.311640625,16551,1006.6467731028898,18.028225687487982,55.12199869605871
24,1676676392.1373918,22.31515625,17233,1006.6372814407471,18.1128562197154,55.20144304031238
25,1676676394.3293202,22.3192578125,17819,1006.6304795999879,18.053462766417745,55.25837419859668
26,1676676396.521395,22.32140625,18286,1006.6255333615363,17.939403318070934,55.29977422906914
27,1676676398.713367,22.3235546875,18694,1006.6240046609715,17.87503368016469,55.31256949063772
28,1676676400.9056206,22.324140625,19279,1006.6301122348303,17.880023799129077,55.2614490403906
29,1676676403.097565,22.3255078125,19846,1006.6272752715267,17.80573285068349,55.28519441850477
