,Time,Temperature,Gas,Pressure,Humidity,Altitude
0,0,24.1596875,70244,1012.2194795941915,41.84239382298477,8.583321836409175
1,2,24.16828125,18728,1012.2202055143816,41.719208486658765,8.57727307462816
2,4,24.183515625,28113,1012.2235172812574,41.47879110658255,8.549677676658066
3,6,24.1985546875,32825,1012.2265000429574,41.226910279552754,8.524823786868165
4,8,24.2126171875,35523,1012.2346977899417,41.028252042932564,8.456516288827338
5,10,24.2223828125,37095,1012.2305340777945,40.85287227423852,8.49121024815863
6,12,24.2290234375,38421,1012.2279767027004,40.72432082841161,8.512519527682262
7,14,24.234296875,39102,1012.2419781715212,40.61919882803527,8.395853087974633
8,16,24.23625,39807,1012.2366884288746,40.543118284039565,8.439929413048874
9,18,24.234296875,40266,1012.2368356694466,40.4959765381392,8.4387025411394
10,20,24.23234375,40696,1012.2352687300216,40.43712164948717,8.45175896322506
11,22,24.229609375,41095,1012.2375318044167,40.41923793936573,8.432902046474807
12,24,24.2239453125,41420,1012.2314448410123,40.38931730798472,8.483621341426241
13,26,24.21828125,41543,1012.2287860899179,40.36526325186006,8.505775319311763
14,28,24.2130078125,41667,1012.2336399143708,40.35883530277264,8.465330982340873
15,30,24.2067578125,42170,1012.2299965557097,40.38746683856273,8.495689137126973
16,32,24.2020703125,42212,1012.2358343778001,40.39282360064611,8.447045737565386
17,34,24.196015625,42128,1012.2325188757256,40.409756946356154,8.474671987041694
18,36,24.185078125,42426,1012.2295703558667,40.43202845917725,8.499240437743227
19,38,24.1731640625,42469,1012.2301227690971,40.41902023692888,8.494637467144674
20,40,24.1641796875,42512,1012.2287406326436,40.42977730060635,8.506154091336743
21,42,24.1571484375,42642,1012.2254976508292,40.52871161774613,8.53317622204844
22,44,24.1508984375,42860,1012.2235670660109,40.62191937869155,8.549262844248087
23,46,24.1434765625,42729,1012.2299510737724,40.70917958324281,8.49606811428994
24,48,24.13625,42685,1012.2280932942891,40.784755397231095,8.511548029529386
25,50,24.1315625,42904,1012.2339290154142,40.84888536117318,8.462922062099963
26,52,24.126484375,43080,1012.2305388383743,40.89535930301962,8.491170580758684
27,54,24.1221875,42992,1012.2387444251804,40.91253020046035,8.422797978724203
28,56,24.1176953125,43080,1012.2397662254184,40.917921548026605,8.414283915706807
29,58,24.1128125,43482,1012.2298485267726,40.90563180750886,8.49692258478162
